WORD,FREQUENCY,RANK,PROBABILITY
might,1955,137,0.0009158993569496382
thing,1942,138,0.0009098089775939628
o,1940,139,0.0009088719961546282
first,1911,140,0.0008952857652842755
because,1878,141,0.0008798255715352535
way,1868,142,0.0008751406643385801
mrs,1838,143,0.0008610859427485601
give,1814,144,0.0008498421654765441
never,1806,145,0.0008460942397192053
where,1801,146,0.0008437517861208687
take,1788,147,0.0008376614067651934
nor,1779,148,0.0008334449902881874
saying,1741,149,0.0008156423429408287
long,1701,150,0.0007969027141541353
though,1698,151,0.0007954972419951333
its,1682,152,0.000788001390480456
has,1681,153,0.0007875328997607886
himself,1678,154,0.0007861274276017866
think,1677,155,0.0007856589368821193
shalt,1673,156,0.00078378497400345
those,1658,157,0.00077675761320844
being,1644,158,0.0007701987431330973
here,1643,159,0.0007697302524134299
earth,1633,160,0.0007650453452167566
therefore,1626,161,0.0007617659101790853
saw,1617,162,0.0007575494937020793
ever,1609,163,0.0007538015679447406
heard,1589,164,0.0007444317535513939
put,1588,165,0.0007439632628317266
through,1583,166,0.0007416208092333898
without,1575,167,0.0007378728834760512
many,1574,168,0.0007374043927563839
off,1541,169,0.0007219441990073619
place,1534,170,0.0007186647639696905
most,1514,171,0.0007092949495763438
behold,1468,172,0.0006877443764716465
heart,1449,173,0.0006788430527979671
name,1449,174,0.0006788430527979671
too,1444,175,0.0006765005991996305
nothing,1431,176,0.0006704102198439551
eyes,1421,177,0.0006657253126472818
whom,1419,178,0.0006647883312079471
among,1405,179,0.0006582294611326044
head,1397,180,0.0006544815353752658
life,1364,181,0.0006390213416262437
thus,1363,182,0.0006385528509065763
still,1344,183,0.000629651527232897
thought,1334,184,0.0006249666200362237
just,1320,185,0.000618407749960881
done,1312,186,0.0006146598242035424
last,1312,187,0.0006146598242035424
days,1306,188,0.0006118488798855384
word,1280,189,0.0005996681211741877
saith,1267,190,0.0005935777418185123
face,1264,191,0.0005921722696595103
found,1263,192,0.000591703778939843
same,1246,193,0.0005837394367054983
voice,1244,194,0.0005828024552661636
took,1238,195,0.0005799915109481596
why,1231,196,0.0005767120759104882
brought,1229,197,0.0005757750944711536
hast,1228,198,0.0005753066037514862
hear,1225,199,0.0005739011315924843
another,1224,200,0.000573432640872817
world,1223,201,0.0005729641501531496
sons,1216,202,0.0005696847151154783
while,1206,203,0.0005649998079188049
three,1187,204,0.0005560984842451255
forth,1187,205,0.0005560984842451255
sea,1183,206,0.0005542245213664563
set,1174,207,0.0005500081048894503
miss,1171,208,0.0005486026327304483
young,1155,209,0.0005411067812157709
round,1150,210,0.0005387643276174342
night,1148,211,0.0005378273461780996
tell,1138,212,0.0005331424389814262
called,1128,213,0.0005284575317847529
right,1125,214,0.0005270520596257509
look,1116,215,0.0005228356431487449
under,1116,216,0.0005228356431487449
side,1111,217,0.0005204931895504082
neither,1103,218,0.0005167452637930695
cried,1095,219,0.0005129973380357309
heaven,1092,220,0.0005115918658767289
back,1089,221,0.0005101863937177269
seemed,1083,222,0.0005073754493997229
love,1079,223,0.0005055014865210535
soon,1075,224,0.0005036275236423842
quite,1067,225,0.0004998795978850455
both,1067,226,0.0004998795978850455
words,1052,227,0.0004928522370900354
pass,1051,228,0.0004923837463703682
david,1050,229,0.0004919152556507008
thine,1046,230,0.0004900412927720315
city,1037,231,0.00048582487629502546
years,1020,232,0.0004778605340606808
left,1017,233,0.0004764550619016788
sir,1017,234,0.0004764550619016788
till,1014,235,0.0004750495897426768
always,1000,236,0.0004684907196673341
mine,999,237,0.0004680222289476668
hands,998,238,0.00046755373822799946
bring,991,239,0.00046427430319032813
oh,989,240,0.00046333732175099344
jesus,988,241,0.0004628688310313261
speak,986,242,0.00046193184959199144
looked,982,243,0.0004600578867133221
whale,977,244,0.0004577154331149854
mother,975,245,0.00045677845167565073
together,954,246,0.00044694014656263676
herself,952,247,0.00044600316512330207
high,946,248,0.00044319222080529806
sent,942,249,0.00044131825792662874
whole,935,250,0.0004380388228889574
death,932,251,0.0004366333507299554
stood,930,252,0.0004356963692906207
seen,929,253,0.0004352278785709534
thereof,919,254,0.00043054297137428007
once,916,255,0.00042913749921527806
gave,913,256,0.00042773202705627606
something,912,257,0.0004272635363366087
far,909,258,0.0004258580641776067
sure,907,259,0.00042492108273827205
end,886,260,0.000415082777625258
soul,886,261,0.000415082777625258
poor,884,262,0.00041414579618592333
fathers,883,263,0.000413677305466256
woman,869,264,0.00040711843539091336
according,867,265,0.00040618145395157867
better,866,266,0.00040571296323191135
moses,864,267,0.00040477598179257667
work,850,268,0.000398217111717234
eat,849,269,0.00039774862099756664
part,849,270,0.00039774862099756664
fire,849,271,0.00039774862099756664
given,845,272,0.0003958746581188973
morning,840,273,0.00039353220452056063
indeed,825,274,0.00038650484372555066
whose,818,275,0.0003832254086878793
jerusalem,818,276,0.0003832254086878793
captain,816,277,0.00038228842724854465
dont,813,278,0.00038088295508954264
judah,813,279,0.00038088295508954264
cannot,812,280,0.0003804144643698753
evil,806,281,0.0003776035200518713
each,805,282,0.00037713502933220394
answered,801,283,0.0003752610664535346
rather,797,284,0.0003733871035748653
enough,793,285,0.0003715131406961959
going,784,286,0.00036729672421918996
full,782,287,0.0003663597427798553
told,780,288,0.0003654227613405206
myself,774,289,0.0003626118170225166
themselves,774,290,0.0003626118170225166
water,767,291,0.00035933238198484525
between,766,292,0.00035886389126517794
offering,766,293,0.00035886389126517794
hundred,764,294,0.00035792690982584325
light,763,295,0.00035745841910617593
almost,760,296,0.0003560529469471739
began,759,297,0.0003555844562275066
thousand,753,298,0.0003527735119095026
emma,752,299,0.00035230502118983523
rest,749,300,0.0003508995490308332
knew,746,301,0.00034949407687183127
new,744,302,0.0003485570954324966
mind,742,303,0.0003476201139931619
dead,741,304,0.0003471516232734946
kings,739,305,0.0003462146418341599
spirit,739,306,0.0003462146418341599
get,735,307,0.00034434067895549057
sight,735,308,0.00034434067895549057
lady,727,309,0.0003405927531981519
turned,726,310,0.00034012426247848456
brother,725,311,0.00033965577175881724
having,725,312,0.00033965577175881724
body,722,313,0.00033825029959981523
find,722,314,0.00033825029959981523
dear,720,315,0.00033731331816048055
white,720,316,0.00033731331816048055
keep,716,317,0.0003354393552818112
door,714,318,0.00033450237384247654
art,714,319,0.00033450237384247654
wife,711,320,0.00033309690168347453
blood,708,321,0.00033169142952447253
half,707,322,0.0003312229388048052
friend,703,323,0.0003293489759261359
stand,696,324,0.00032606954088846456
moment,695,325,0.0003256010501687972
holy,691,326,0.00032372708729012787
gone,688,327,0.00032232161513112587
none,683,328,0.00031997916153278917
law,677,329,0.0003171682172147852
fear,677,330,0.0003171682172147852
hope,671,331,0.0003143572728967812
home,670,332,0.00031388878217711384
really,664,333,0.00031107783785910983
few,663,334,0.0003106093471394425
priest,659,335,0.0003087353842607732
however,658,336,0.0003082668935411058
spake,656,337,0.0003073299121017712
believe,652,338,0.00030545594922310186
gold,647,339,0.00030311349562476517
taken,644,340,0.00030170802346576317
peace,639,341,0.00029936556986742647
egypt,629,342,0.00029468066267075314
does,627,343,0.0002937436812314185
call,625,344,0.0002928066997920838
mouth,620,345,0.0002904642461937471
elinor,618,346,0.0002895272647544125
yes,615,347,0.0002881217925954105
within,612,348,0.0002867163204364085
sword,610,349,0.0002857793389970738
perhaps,609,350,0.0002853108482774065
known,607,351,0.0002843738668380718
strong,604,352,0.0002829683946790698
feet,604,353,0.0002829683946790698
felt,601,354,0.0002815629225200678
power,600,355,0.00028109443180040046
near,599,356,0.00028062594108073315
cast,597,357,0.00027968895964139846
whether,595,358,0.00027875197820206377
present,594,359,0.00027828348748239646
room,593,360,0.00027781499676272914
year,592,361,0.00027734650604306177
asked,592,362,0.00027734650604306177
servants,590,363,0.00027640952460372713
sort,589,364,0.0002759410338840598
bear,589,365,0.0002759410338840598
ship,585,366,0.00027406707100539044
air,584,367,0.0002735985802857231
four,582,368,0.00027266159884638844
best,581,369,0.0002721931081267211
servant,580,370,0.0002717246174070538
christ,577,371,0.0002703191452480518
brethren,577,372,0.0002703191452480518
ill,573,373,0.0002684451823693824
turn,566,374,0.0002651657473317111
next,562,375,0.0002632917844530418
small,562,376,0.0002632917844530418
sat,558,377,0.00026141782157437245
happy,557,378,0.0002609493308547051
others,555,379,0.00026001234941537045
mean,554,380,0.0002595438586957031
marianne,553,381,0.00025907536797603576
five,552,382,0.00025860687725636844
seven,551,383,0.00025813838653670107
above,548,384,0.00025673291437769907
want,544,385,0.00025485895149902975
hold,543,386,0.00025439046077936243
open,540,387,0.0002529849886203604
return,540,388,0.0002529849886203604
live,538,389,0.00025204800718102574
fell,538,390,0.00025204800718102574
else,534,391,0.0002501740443023564
since,534,392,0.0002501740443023564
cut,532,393,0.0002492370628630217
glory,523,394,0.00024502064638601577
daughter,522,395,0.0002445521556663484
certain,521,396,0.00024408366494668108
sin,520,397,0.00024361517422701373
pray,520,398,0.00024361517422701373
cities,518,399,0.00024267819278767907
truth,516,400,0.0002417412113483444
lay,512,401,0.00023986724846967506
sun,512,402,0.00023986724846967506
coming,512,403,0.00023986724846967506
child,511,404,0.00023939875775000772
until,509,405,0.00023846177631067306
ahab,509,406,0.00023846177631067306
least,508,407,0.00023799328559100572
leave,507,408,0.0002375247948713384
manner,507,409,0.0002375247948713384
turnbull,507,410,0.0002375247948713384
friends,507,411,0.0002375247948713384
true,506,412,0.00023705630415167105
cause,505,413,0.00023658781343200374
flesh,505,414,0.00023658781343200374
sister,503,415,0.00023565083199266905
passed,502,416,0.00023518234127300173
looking,500,417,0.00023424535983366704
anne,499,418,0.00023377686911399973
afraid,495,419,0.00023190290623533038
matter,493,420,0.00023096592479599572
ground,489,421,0.00022909196191732637
got,489,422,0.00022909196191732637
priests,489,423,0.00022909196191732637
syme,488,424,0.00022862347119765905
wish,486,425,0.00022768648975832437
boy,486,426,0.00022768648975832437
commanded,485,427,0.00022721799903865705
alone,483,428,0.0002262810175993224
towards,482,429,0.00022581252687965504
fall,482,430,0.00022581252687965504
walk,478,431,0.0002239385640009857
enter,478,432,0.0002239385640009857
less,477,433,0.00022347007328131838
evening,474,434,0.00022206460112231637
replied,473,435,0.00022159611040264903
ten,473,436,0.00022159611040264903
family,473,437,0.00022159611040264903
behind,469,438,0.0002197221475239797
answer,468,439,0.00021925365680431236
toward,467,440,0.00021878516608464502
drink,466,441,0.0002183166753649777
eye,466,442,0.0002183166753649777
die,466,443,0.0002183166753649777
times,464,444,0.00021737969392564301
kind,462,445,0.00021644271248630835
gods,462,446,0.00021644271248630835
john,456,447,0.00021363176816830434
second,454,448,0.00021269478672896968
midst,451,449,0.00021128931456996768
along,451,450,0.00021128931456996768
bread,445,451,0.00020847837025196367
haue,444,452,0.00020800987953229635
waters,442,453,0.00020707289809296166
black,439,454,0.0002056674259339597
reason,439,455,0.0002056674259339597
silver,437,456,0.000204730444494625
kept,436,457,0.00020426195377495768
joy,436,458,0.00020426195377495768
mighty,432,459,0.00020238799089628833
hour,430,460,0.00020145100945695367
book,429,461,0.00020098251873728633
large,429,462,0.00020098251873728633
money,429,463,0.00020098251873728633
field,427,464,0.00020004553729795167
tree,426,465,0.00019957704657828432
im,426,466,0.00019957704657828432
feel,424,467,0.00019864006513894966
help,423,468,0.00019817157441928232
living,423,469,0.00019817157441928232
wicked,422,470,0.000197703083699615
war,420,471,0.00019676610226028031
often,420,472,0.00019676610226028031
ask,420,473,0.00019676610226028031
remember,419,474,0.000196297611540613
fine,417,475,0.00019536063010127834
understand,415,476,0.00019442364866194365
macian,413,477,0.000193486667222609
course,413,478,0.000193486667222609
country,412,479,0.00019301817650294164
returned,410,480,0.00019208119506360698
pleasure,408,481,0.00019114421362427232
spoken,407,482,0.00019067572290460498
dwell,404,483,0.00018927025074560297
twenty,404,484,0.00018927025074560297
saul,402,485,0.0001883332693062683
altar,402,486,0.0001883332693062683
nations,400,487,0.00018739628786693365
garden,399,488,0.0001869277971472663
strange,398,489,0.00018645930642759896
burnt,398,490,0.00018645930642759896
person,397,491,0.00018599081570793165
certainly,397,492,0.00018599081570793165
ready,397,493,0.00018599081570793165
send,396,494,0.0001855223249882643
written,394,495,0.00018458534354892964
able,394,496,0.00018458534354892964
whales,393,497,0.0001841168528292623
faith,391,498,0.00018317987138992764
women,390,499,0.0001827113806702603
harriet,390,500,0.0001827113806702603
alice,388,501,0.00018177439923092563
surely,388,502,0.00018177439923092563
anything,388,503,0.00018177439923092563
short,385,504,0.00018036892707192363
ought,385,505,0.00018036892707192363
dark,384,506,0.0001799004363522563
broken,384,507,0.0001799004363522563
wherefore,383,508,0.00017943194563258897
chief,383,509,0.00017943194563258897
sweet,383,510,0.00017943194563258897
strength,382,511,0.00017896345491292162
weston,382,512,0.00017896345491292162
praise,381,513,0.0001784949641932543
laid,380,514,0.00017802647347358696
ran,379,515,0.00017755798275391962
red,378,516,0.0001770894920342523
congregation,376,517,0.00017615251059491761
judgment,376,518,0.00017615251059491761
either,372,519,0.0001742785477162483
green,371,520,0.00017381005699658095
itself,371,521,0.00017381005699658095
yea,371,522,0.00017381005699658095
brown,371,523,0.00017381005699658095
business,368,524,0.00017240458483757894
walked,367,525,0.00017193609411791163
meet,367,526,0.00017193609411791163
nature,365,527,0.00017099911267857694
received,365,528,0.00017099911267857694
kingdom,364,529,0.00017053062195890962
glad,363,530,0.00017006213123924228
bed,360,531,0.00016865665908024027
jacob,360,532,0.00016865665908024027
gate,360,533,0.00016865665908024027
suppose,359,534,0.00016818816836057296
suddenly,359,535,0.00016818816836057296
wise,359,536,0.00016818816836057296
honour,357,537,0.00016725118692123827
ham,357,538,0.00016725118692123827
doubt,356,539,0.00016678269620157095
lost,354,540,0.00016584571476223626
beyond,354,541,0.00016584571476223626
daughters,354,542,0.00016584571476223626
rose,353,543,0.00016537722404256895
trees,352,544,0.0001649087333229016
blessed,351,545,0.00016444024260323426
mans,350,546,0.00016397175188356694
table,350,547,0.00016397175188356694
wall,349,548,0.0001635032611638996
opened,347,549,0.00016256627972456494
hair,345,550,0.00016162929828523028
six,345,551,0.00016162929828523028
knowledge,344,552,0.00016116080756556293
chapter,342,553,0.00016022382612622827
master,341,554,0.00015975533540656093
seek,340,555,0.00015928684468689358
immediately,339,556,0.00015881835396722627
seeing,339,557,0.00015881835396722627
save,338,558,0.00015834986324755892
deal,338,559,0.00015834986324755892
talk,338,560,0.00015834986324755892
mercy,337,561,0.0001578813725278916
knightley,336,562,0.00015741288180822426
silence,336,563,0.00015741288180822426
thats,336,564,0.00015741288180822426
works,336,565,0.00015741288180822426
sit,335,566,0.00015694439108855692
meat,334,567,0.0001564759003688896
sing,331,568,0.0001550704282098876
mount,331,569,0.0001550704282098876
tabernacle,331,570,0.0001550704282098876
case,330,571,0.00015460193749022025
seed,329,572,0.0001541334467705529
spirits,329,573,0.0001541334467705529
offer,328,574,0.0001536649560508856
sound,328,575,0.0001536649560508856
hard,328,576,0.0001536649560508856
point,327,577,0.00015319646533121825
enemies,327,578,0.00015319646533121825
read,325,579,0.0001522594838918836
bad,325,580,0.0001522594838918836
cry,324,581,0.00015179099317221624
deep,323,582,0.00015132250245254893
run,323,583,0.00015132250245254893
judge,322,584,0.00015085401173288158
thoughts,321,585,0.00015038552101321424
become,321,586,0.00015038552101321424
wind,321,587,0.00015038552101321424
fruit,320,588,0.00014991703029354692
aaron,320,589,0.00014991703029354692
wilderness,319,590,0.00014944853957387958
making,318,591,0.00014898004885421223
delivered,317,592,0.00014851155813454492
elton,317,593,0.00014851155813454492
letter,317,594,0.00014851155813454492
gathered,316,595,0.00014804306741487757
month,316,596,0.00014804306741487757
shew,316,597,0.00014804306741487757
destroy,315,598,0.00014757457669521026
past,315,599,0.00014757457669521026
righteousness,314,600,0.0001471060859755429
third,314,601,0.0001471060859755429
continued,313,602,0.00014663759525587557
wine,312,603,0.00014616910453620825
fair,310,604,0.00014523212309687356
appeared,310,605,0.00014523212309687356
lest,310,606,0.00014523212309687356
places,309,607,0.00014476363237720625
wood,309,608,0.00014476363237720625
fight,309,609,0.00014476363237720625
please,308,610,0.0001442951416575389
deliver,308,611,0.0001442951416575389
carried,308,612,0.0001442951416575389
fast,307,613,0.00014382665093787156
cant,307,614,0.00014382665093787156
darkness,307,615,0.00014382665093787156
free,307,616,0.00014382665093787156
hardly,307,617,0.00014382665093787156
already,307,618,0.00014382665093787156
anger,307,619,0.00014382665093787156
ways,306,620,0.00014335816021820424
company,306,621,0.00014335816021820424
sense,305,622,0.0001428896694985369
sake,305,623,0.0001428896694985369
forward,305,624,0.0001428896694985369
river,305,625,0.0001428896694985369
colonel,305,626,0.0001428896694985369
used,304,627,0.00014242117877886958
low,304,628,0.00014242117877886958
hosts,304,629,0.00014242117877886958
followed,303,630,0.00014195268805920224
boat,303,631,0.00014195268805920224
covenant,302,632,0.0001414841973395349
comes,302,633,0.0001414841973395349
died,301,634,0.00014101570661986758
wild,301,635,0.00014101570661986758
party,301,636,0.00014101570661986758
longer,301,637,0.00014101570661986758
use,301,638,0.00014101570661986758
possible,298,639,0.00013961023446086557
princes,298,640,0.00013961023446086557
seem,297,641,0.00013914174374119823
stone,297,642,0.00013914174374119823
hell,296,643,0.00013867325302153088
thyself,295,644,0.00013820476230186357
idea,294,645,0.00013773627158219622
close,294,646,0.00013773627158219622
angel,293,647,0.0001372677808625289
common,293,648,0.0001372677808625289
solomon,293,649,0.0001372677808625289
sleep,292,650,0.00013679929014286156
number,292,651,0.00013679929014286156
receive,292,652,0.00013679929014286156
concerning,292,653,0.00013679929014286156
vain,291,654,0.00013633079942319422
babylon,291,655,0.00013633079942319422
arm,291,656,0.00013633079942319422
standing,291,657,0.00013633079942319422
general,291,658,0.00013633079942319422
oil,289,659,0.00013539381798385956
care,289,660,0.00013539381798385956
husband,289,661,0.00013539381798385956
gentleman,288,662,0.0001349253272641922
perfect,287,663,0.0001344568365445249
wait,287,664,0.0001344568365445249
doth,287,665,0.0001344568365445249
silent,287,666,0.0001344568365445249
early,287,667,0.0001344568365445249
means,286,668,0.00013398834582485755
pretty,286,669,0.00013398834582485755
yourself,285,670,0.0001335198551051902
became,285,671,0.0001335198551051902
sometimes,285,672,0.0001335198551051902
spoke,285,673,0.0001335198551051902
wilt,284,674,0.0001330513643855229
cometh,283,675,0.00013258287366585555
wisdom,283,676,0.00013258287366585555
except,283,677,0.00013258287366585555
feelings,282,678,0.00013211438294618823
mary,282,679,0.00013211438294618823
need,280,680,0.00013117740150685354
iniquity,280,681,0.00013117740150685354
grace,278,682,0.00013024042006751888
beginning,277,683,0.00012977192934785154
top,277,684,0.00012977192934785154
wonder,276,685,0.00012930343862818422
rise,276,686,0.00012930343862818422
state,275,687,0.00012883494790851688
added,275,688,0.00012883494790851688
hill,274,689,0.00012836645718884953
jane,274,690,0.00012836645718884953
length,274,691,0.00012836645718884953
serve,273,692,0.00012789796646918222
multitude,273,693,0.00012789796646918222
wanted,272,694,0.00012742947574951487
born,271,695,0.00012696098502984756
change,271,696,0.00012696098502984756
visit,271,697,0.00012696098502984756
offerings,270,698,0.0001264924943101802
pleased,269,699,0.00012602400359051287
follow,269,700,0.00012602400359051287
battle,268,701,0.00012555551287084555
stay,268,702,0.00012555551287084555
cold,268,703,0.00012555551287084555
ships,267,704,0.0001250870221511782
instant,267,705,0.0001250870221511782
jews,266,706,0.00012461853143151086
filled,266,707,0.00012461853143151086
levites,265,708,0.00012415004071184355
iron,265,709,0.00012415004071184355
girl,265,710,0.00012415004071184355
host,265,711,0.00012415004071184355
lie,265,712,0.00012415004071184355
twelve,264,713,0.0001236815499921762
heavens,264,714,0.0001236815499921762
woodhouse,264,715,0.0001236815499921762
prophet,263,716,0.00012321305927250886
beautiful,263,717,0.00012321305927250886
secret,262,718,0.00012274456855284154
blue,262,719,0.00012274456855284154
subject,262,720,0.00012274456855284154
mothers,262,721,0.00012274456855284154
philistines,261,722,0.0001222760778331742
real,261,723,0.0001222760778331742
held,260,724,0.00012180758711350687
doing,260,725,0.00012180758711350687
play,260,726,0.00012180758711350687
window,258,727,0.0001208706056741722
mountains,258,728,0.0001208706056741722
lived,258,729,0.0001208706056741722
street,257,730,0.00012040211495450486
break,256,731,0.00011993362423483753
wrong,256,732,0.00011993362423483753
seems,256,733,0.00011993362423483753
question,256,734,0.00011993362423483753
therein,254,735,0.00011899664279550286
song,254,736,0.00011899664279550286
tribe,254,737,0.00011899664279550286
elliot,254,738,0.00011899664279550286
comfort,253,739,0.00011852815207583553
south,253,740,0.00011852815207583553
righteous,252,741,0.0001180596613561682
throne,252,742,0.0001180596613561682
ark,252,743,0.0001180596613561682
temple,252,744,0.0001180596613561682
account,252,745,0.0001180596613561682
ears,251,746,0.00011759117063650087
prophets,250,747,0.00011712267991683352
wont,250,748,0.00011712267991683352
houses,250,749,0.00011712267991683352
late,249,750,0.00011665418919716619
order,248,751,0.00011618569847749886
disciples,248,752,0.00011618569847749886
beast,247,753,0.00011571720775783153
line,247,754,0.00011571720775783153
east,247,755,0.00011571720775783153
stones,247,756,0.00011571720775783153
smote,247,757,0.00011571720775783153
sacrifice,247,758,0.00011571720775783153
town,245,759,0.00011478022631849686
taking,245,760,0.00011478022631849686
departed,245,761,0.00011478022631849686
speaking,245,762,0.00011478022631849686
wrath,245,763,0.00011478022631849686
tongue,244,764,0.00011431173559882953
bare,244,765,0.00011431173559882953
trust,244,766,0.00011431173559882953
sisters,244,767,0.00011431173559882953
entered,243,768,0.00011384324487916218
believed,243,769,0.00011384324487916218
inheritance,242,770,0.00011337475415949485
susan,242,771,0.00011337475415949485
met,242,772,0.00011337475415949485
story,242,773,0.00011337475415949485
dwelt,242,774,0.00011337475415949485
smile,242,775,0.00011337475415949485
perfectly,242,776,0.00011337475415949485
foot,241,777,0.00011290626343982752
human,241,778,0.00011290626343982752
lifted,241,779,0.00011290626343982752
talking,241,780,0.00011290626343982752
fellow,241,781,0.00011290626343982752
ones,240,782,0.00011243777272016019
understanding,240,783,0.00011243777272016019
abraham,240,784,0.00011243777272016019
theres,240,785,0.00011243777272016019
caught,240,786,0.00011243777272016019
fish,240,787,0.00011243777272016019
horses,240,788,0.00011243777272016019
plain,239,789,0.00011196928200049285
arms,239,790,0.00011196928200049285
rich,239,791,0.00011196928200049285
sitting,239,792,0.00011196928200049285
minutes,239,793,0.00011196928200049285
everything,239,794,0.00011196928200049285
sperm,239,795,0.00011196928200049285
bright,238,796,0.00011150079128082552
thence,237,797,0.00011103230056115819
thirty,237,798,0.00011103230056115819
across,237,799,0.00011103230056115819
desire,236,800,0.00011056380984149086
greater,236,801,0.00011056380984149086
bow,235,802,0.00011009531912182351
trouble,235,803,0.00011009531912182351
north,234,804,0.00010962682840215618
heads,234,805,0.00010962682840215618
hat,234,806,0.00010962682840215618
lips,232,807,0.00010868984696282151
turning,232,808,0.00010868984696282151
command,232,809,0.00010868984696282151
stranger,232,810,0.00010868984696282151
joseph,231,811,0.00010822135624315418
loved,231,812,0.00010822135624315418
spread,230,813,0.00010775286552348685
kill,230,814,0.00010775286552348685
afterwards,230,815,0.00010775286552348685
happiness,229,816,0.00010728437480381952
hours,229,817,0.00010728437480381952
begat,229,818,0.00010728437480381952
yourselves,229,819,0.00010728437480381952
louisa,229,820,0.00010728437480381952
built,229,821,0.00010728437480381952
